year,temperature_avg,rainfall_total,soil_ph,fertilizer_usage,sunlight_hours,pesticide_usage,crop_type,region,crop_yield
2020,25.3,780,6.2,145,6.8,1.8,Wheat,North,3.2
2020,28.1,920,6.8,180,7.2,2.1,Rice,South,4.1
2020,26.7,850,6.5,160,6.9,1.9,Corn,East,3.8
2020,24.8,720,6.1,135,6.5,1.7,Soybean,West,3.1
2020,27.2,890,6.7,170,7.1,2.0,Wheat,South,3.5
2021,24.9,760,6.3,140,6.7,1.8,Rice,North,3.9
2021,28.3,940,6.9,185,7.3,2.2,Corn,South,4.2
2021,26.2,830,6.4,155,6.8,1.9,Soybean,East,3.3
2021,25.1,740,6.2,138,6.6,1.7,Wheat,West,3.1
2021,27.8,910,6.8,175,7.2,2.1,Rice,East,4.0
2022,25.5,790,6.4,150,6.9,1.9,Corn,North,3.7
2022,28.5,960,7.0,190,7.4,2.3,Soybean,South,3.6
2022,26.8,870,6.6,165,7.0,2.0,Wheat,East,3.4
2022,25.2,750,6.3,142,6.7,1.8,Rice,West,3.8
2022,27.5,880,6.7,168,7.1,2.0,Corn,West,4.1
2023,26.1,820,6.5,158,6.9,1.9,Soybean,North,3.4
2023,28.7,980,7.1,195,7.5,2.4,Wheat,South,3.6
2023,27.1,860,6.6,162,7.0,2.0,Rice,East,4.2
2023,25.8,770,6.4,148,6.8,1.8,Corn,South,3.9
2023,28.0,900,6.8,172,7.2,2.1,Soybean,West,3.5
